,Concept_ID,uk,zh
0,Auge::N,око,眼睛
1,Ohr::N,вухо,耳朵
2,Nase::N,ніс,鼻子
3,Mund::N,рот,嘴
4,Zahn::N,зуб,牙齿
5,Zunge::N,язик,舌头
6,Lippe::N,губа,嘴唇
7,Wange::N,щока,面颊
8,Gesicht::N,обличчя,脸
9,Stirn::N,лоб,额
10,Haar::N,волосся,头发
11,Schnurrbart::N,вуса,髭须
12,Bart::N,борода,胡子
13,Kinn::N,підборіддя,下巴
14,Kiefer[Anatomie]::N,щелепа,颌
15,Kehle::N,горло,嗓子
16,Hals::N,шия,颈
17,Genick::N,потилиця,后颈
18,Kopf::N,голова,头
19,Rücken::N,спина,背
20,Bauch::N,живіт,肚子
21,Nabel::N,пупок,肚脐
22,Busen::N,груди,胸脯
23,Brust::N,груди,胸
24,Schulter::N,плече,肩膀
25,Arm::N,рука,臂膀
26,Ellenbogen::N,лікоть,肘
27,Hand::N,рука,手
28,Handfläche::N,долоня,手掌
29,Finger::N,палець,手指
30,Fingernagel::N,ніготь,指甲
31,Nagel[Anatomie]::N,ніготь,指甲
32,Zeh::N,палець на нозі,脚趾
33,Fuß::N,нога,脚
34,Ferse::N,п’ятка,后跟
35,Knie::N,коліно,膝
36,Oberschenkel::N,стегно,大腿
37,Bein::N,нога,腿
38,Körper::N,тіло,身体
39,Haut::N,шкіра,皮肤
40,Blut::N,кров,血
41,Ader::N,вена,血管
42,Sehne::N,сухожилля,腱
43,Knochen::N,кістка,骨
44,Gehirn::N,мозок,脑
45,Herz::N,серце,心
46,Magen::N,шлунок,胃
47,Leber::N,печінка,肝
48,Atem::N,дихання,呼吸
49,Hunger::N,голод,饿
50,Träne::N,сльоза,眼泪
51,Geschmack::N,смак,味道
52,Geruch::N,запах,气味
53,Schlaf::N,сон,睡眠
54,Schlaf::N,сплячка,睡眠
55,Traum::N,сон,梦
56,Himmel::N,небо,天空
57,Sonne::N,сонце,太阳
58,Mond::N,місяць,月亮
59,Stern::N,зірка,星
60,Luft::N,повітря,空气
61,Wind::N,вітер,风
62,Welle::N,хвиля,波
63,Wasser::N,вода,水
64,Stein::N,камінь,石头
65,Boden::N,ґрунт,地面
66,Erde::N,земля,地
67,Staub::N,пил,灰尘
68,Rauch::N,дим,烟
69,Funke::N,іскра,火花
70,Feuer::N,вогонь,火
71,Licht::N,світло,光
72,Schatten::N,тінь,影子
73,Wetter::N,погода,天气
74,Nebel::N,туман,雾
75,Wolke::N,хмара,云
76,Regen::N,дощ,雨
77,Schnee::N,сніг,雪
78,Eis::N,лід,冰
79,Frost::N,мороз,霜冻
80,Kälte::N,холод,寒冷
81,Hitze::N,жар,炎热
82,Raureif::N,іній,霜
83,Regenbogen::N,райдуга,虹
84,Donner::N,грім,雷
85,Strömung::N,струмина,水流
86,Tropfen::N,крапля,滴
87,Schaum::N,піна,泡沫
88,Schmutz::N,бруд,赃物
89,See::N,озеро,湖
90,Sumpf::N,драговина,沼泽
91,Moor::N,болото,沼泽
92,Wiese::N,луг,草地
93,Wiese::N,лука,草地
94,Wald::N,ліс,森林
95,Hügel::N,горб,丘陵
96,Anhöhe::N,височина,山丘
97,Berg::N,гора,山
98,Gipfel::N,вершина,峰
99,Höhle::N,печера,洞穴
100,Abhang::N,схил,斜坡
101,Quelle::N,джерело,泉
102,Bach::N,струмок,溪
103,Fluss::N,річка,河流
104,Ufer::N,берег,岸
105,Küste::N,узбережжя,海岸
106,Festland::N,суша,大陆
107,Meer::N,море,海
108,Bucht::N,бухта,海湾
109,Bucht::N,затока,海湾
110,Insel::N,острів,岛
111,Blume::N,квітка,花
112,Gras::N,трава,草
113,Wurzel::N,корінь,根
114,Baum::N,дерево,树
115,Stamm::N,стовбур,树干
116,Rinde::N,кора,树皮
117,Ast::N,гілка,树枝
118,Zweig::N,галузь,树枝
119,Blatt::N,лист,叶子
120,Birke::N,береза,桦木
121,Kiefer[Baum]::N,сосна,松树
122,Weide[Baum]::N,верба,柳树
123,Tanne::N,ялиця,冷杉
124,Horn::N,ріг,角
125,Feder::N,перо,羽毛
126,Fell::N,хутро,皮毛
127,Flügel::N,крило,翅膀
128,Klaue::N,кіготь,爪子
129,Kralle::N,лапа,爪子
130,Schwanz::N,хвіст,尾巴
131,Ei::N,яйце,蛋
132,Nest::N,гніздо,巢
133,Bau::N,лігво,穴
134,Tier::N,тварина,动物
135,Herde::N,стадо,群
136,Kuh::N,корова,母牛
137,Bulle::N,бик,公牛
138,Bulle::N,бугай,公牛
139,Pferd::N,кінь,马
140,Schaf::N,вівця,羊
141,Schwein::N,свиня,猪
142,Hund::N,собака,狗
143,Katze::N,кішка,猫
144,Bär::N,ведмідь,熊
145,Eichhörnchen::N,білка,松鼠
146,Elch::N,лось,麋鹿
147,Fuchs::N,лисиця,狐狸
148,Hase::N,заєць,兔子
149,Maus::N,миша,老鼠
150,Wolf::N,вовк,狼
151,Vogel::N,птах,鸟
152,Schwarm::N,зграя,群
153,Huhn::N,курка,鸡
154,Hahn::N,півень,公鸡
155,Gans::N,гуска,鹅
156,Adler::N,орел,鹰
157,Ente::N,качка,鸭
158,Eule::N,сова,猫头鹰
159,Kranich::N,журавель,鹤
160,Krähe::N,ворона,乌鸦
161,Kuckuck::N,зозуля,布谷鸟
162,Schwan::N,лебідь,天鹅
163,Fisch::N,риба,鱼
164,Barsch::N,окунь,鲈鱼
165,Hecht::N,щука,狗鱼
166,Schlange[Tier]::N,змія,蛇
167,Wurm::N,черв’як,蠕虫
168,Spinne::N,павук,蜘蛛
169,Ameise::N,мурашка,蚂蚁
170,Laus::N,воша,虱子
171,Mücke::N,комар,蚊子
172,Fliege::N,муха,苍蝇
173,Schmetterling::N,метелик,蝴蝶
174,Beere::N,ягода,将果
175,Apfel::N,яблуко,苹果
176,Pilz::N,гриб,蘑菇
177,Zwiebel::N,цибуля,洋葱
178,Saat::N,сім’я,种子
179,Korn::N,зерно,谷粒
180,Heu::N,сіно,干草
181,Schale::N,шкірка,壳
182,Grube::N,яма,坑
183,Falle::N,пастка,圈套
184,Schlinge::N,петля,活扣
185,Spur::N,слід,踪迹
186,Asche::N,зола,灰烬
187,Asche::N,попіл,灰烬
188,Dreck::N,бруд,污垢
189,Eisen::N,залізо,铁
190,Gold::N,золото,金子
191,Silber::N,срібло,银
192,Kohle::N,вугілля,煤
193,Glas::N,скло,玻璃
194,Lehm::N,глина,粘土
195,Sand::N,пісок,沙
196,Mensch::N,людина,人
197,Mann::N,чоловік,男子
198,Frau::N,жінка,妇女
199,Kind::N,дитина,小孩
200,Junge::N,хлопець,男孩
201,Mädchen::N,дівчина,女孩
202,Familie::N,сім’я,家庭
203,Familie::N,родина,家庭
204,Großvater::N,дідусь,祖父
205,Großmutter::N,бабуся,祖母
206,Eltern::N,батьки,父母
207,Vater::N,батько,父亲
208,Mutter::N,мати,母亲
209,Sohn::N,син,儿子
210,Tochter::N,дочка,女儿
211,Bruder::N,брат,兄弟
212,Schwester::N,сестра,姐妹
213,Onkel::N,дядько,伯父
214,Tante::N,тітка,阿姨
215,Ehemann::N,чоловік,丈夫
216,Ehefrau::N,жінка,妻子
217,Ehefrau::N,дружина,妻子
218,Freude::N,радощі,愉快
219,Gelächter::N,сміх,大笑
220,Glück::N,щастя,运气
221,Kummer::N,горе,苦恼
222,Wunsch::N,бажання,愿望
223,Lust::N,бажання,乐趣
224,Geist::N,дух,精神
225,Gedanke::N,думка,思想
226,Gedächtnis::N,пам’ять,记性
227,Verstand::N,розум,理智
228,Sinn::N,зміст,感觉
229,Sinn::N,значення,感觉
230,Grund::N,причина,理由
231,Wahrheit::N,правда,真理
232,Gespräch::N,розмова,谈话
233,Märchen::N,байка,童话
234,Erzählung::N,повість,故事
235,Erzählung::N,оповідання,故事
236,Nachricht::N,повідомлення,消息
237,Neuigkeit::N,новина,新闻
238,Name::N,ім’я,名字
239,Rätsel::N,загадка,谜语
240,Rede::N,промова,讲话
241,Sprache::N,мова,语言
242,Stimme::N,голос,声音
243,Wort::N,слово,词
244,Zeichen::N,знак,标记
245,Ruf::N,оклик,呼喊
246,Lärm::N,шум,噪音
247,Laut::N,звук,响声
248,Ton::N,тон,声音
249,Lied::N,пісня,歌曲
250,Ruhe::N,спокій,安静
251,Leute::N,люди,人们
252,Volk::N,народ,人民
253,Arbeit::N,робота,劳动
254,Gast::N,гість,客人
255,Geschenk::N,подарунок,礼物
256,Spiel::N,гра,游戏
257,Gesellschaft::N,товариство,陪同
258,Hilfe::N,допомога,帮助
259,Freund::N,друг,朋友
260,Freund::N,приятель,朋友
261,Kamerad::N,товариш,同志
262,Angelegenheit::N,справа,事情
263,Anzahl::N,число,数目
264,Art::N,рід,种类
265,Stück::N,кусок,块
266,Teil::N,частина,部分
267,Hälfte::N,половина,一半
268,Kreis::N,круг,圆
269,Kreis::N,коло,圆
270,Kreuz::N,хрест,十字架
271,Linie::N,лінія,线条
272,Strich::N,штрих,划
273,Abstand::N,проміжок,距离
274,Entfernung::N,відстань,距离
275,Gegend::N,місцевість,地区
276,Platz::N,площа,场所
277,Ort::N,місце,地点
278,Seite::N,сторона,面
279,Mitte::N,середина,中间
280,Gegenstand::N,предмет,物品
281,Sache::N,річ,物
282,Rand::N,край,边
283,Kante::N,ребро,棱
284,Ecke::N,ріг,角
285,Spitze::N,кінчик,尖
286,Ende::N,кінець,结尾
287,Loch::N,діра,洞
288,Winkel::N,куток,角度
289,Muster::N,узор,模型
290,Größe::N,розмір,大小
291,Länge::N,довжина,长度
292,Höhe::N,висота,高度
293,Gewicht::N,вага,重量
294,Menge::N,кількість,数量
295,Haufen::N,купа,堆
296,Reihe::N,ряд,行
297,Boot::N,човен,小船
298,Ruder::N,весло,奖
299,Schlitten::N,сани,雪橇
300,Ski::N,лижа,雪板
301,Lagerfeuer::N,вогнище,营火
302,Last::N,тягар,负担
303,Last::N,вантаж,负担
304,Gang::N,хід,行走
305,Schritt::N,крок,步伐
306,Norden::N,північ,北
307,Süden::N,південь,南
308,Westen::N,захід,西
309,Osten::N,схід,东
310,Holz::N,дрова,木材
311,Brett::N,дошка,木板
312,Platte::N,плита,平板
313,Stütze::N,підпірка,支架
314,Stange::N,жердина,杆
315,Stock::N,палиця,棒
316,Stab::N,палиця,棍
317,Rohr::N,труба,管子
318,Haus::N,дім,房屋
319,Haus::N,хата,房屋
320,Heim::N,житло,家
321,Ofen::N,піч,炉子
322,Fußboden::N,підлога,地板
323,Tisch::N,стіл,桌子
324,Stuhl::N,стілець,椅子
325,Wiege::N,колиска,摇蓝
326,Bett::N,ліжко,床
327,Bett::N,постіль,床
328,Regal::N,полиця,架子
329,Kiste::N,ящик,箱子
330,Fenster::N,вікно,窗户
331,Tür::N,двері,门
332,Tor::N,ворота,大门
333,Zaun::N,паркан,篱笆
334,Zaun::N,огорожа,篱笆
335,Dach::N,дах,屋顶
336,Leiter::N,драбина,梯子
337,Besen::N,мітла,扫帚
338,Spaten::N,заступ,铁锹
339,Schaufel::N,совок,铁锹
340,Schaufel::N,лопата,铁锹
341,Gabel::N,виделка,叉
342,Löffel::N,ложка,食匙
343,Messer::N,ніж,刀
344,Nagel::N,цвях,钉子
345,Netz::N,сіть,网
346,Haken::N,крюк,钩子
347,Griff::N,ручка,把柄
348,Griff::N,держак,把柄
349,Schloss::N,замок,锁
350,Bild::N,картина,图画
351,Figur::N,фігура,人像
352,Puppe::N,лялька,娃娃
353,Beutel::N,мішечок,袋子
354,Beutel::N,торбинка,袋子
355,Bündel::N,в’язка,捆
356,Tasche::N,сумка,手提包
357,Eimer::N,відро,桶
358,Deckel::N,кришка,盖子
359,Geschirr::N,посуд,餐具
360,Sack::N,мішок,袋子
361,Tasse::N,чашка,杯子
362,Topf::N,горщик,锅
363,Kessel::N,котел,水壶
364,Essen::N,їжа,进餐
365,Nahrung::N,харч,食物
366,Speise::N,страва,菜肴
367,Fleisch::N,м’ясо,肉
368,Getreide::N,хліб,谷物
369,Getreide::N,збіжжя,谷物
370,Brei::N,каша,粥
371,Brot::N,хліб,面包
372,Scheibe::N,скибочка,片
373,Fett::N,жир,脂肪
374,Butter::N,масло,黄油
375,Öl::N,олія,油
376,Salz::N,сіль,盐
377,Suppe::N,суп,汤
378,Honig::N,мед,蜂蜜
379,Milch::N,молоко,奶
380,Tee::N,чай,茶
381,Leder::N,шкіра,皮革
382,Wolle::N,шерсть,毛线
383,Stoff::N,тканина,织物
384,Nadel::N,голка,针
385,Faden::N,нитка,线
386,Knopf::N,ґудзик,纽扣
387,Knoten::N,вузол,结
388,Farbe::N,фарба,颜色
389,Kleidung::N,одяг,衣服
390,Kleidung::N,убрання,衣服
391,Hemd::N,сорочка,衬衫
392,Kragen::N,комір,领子
393,Ärmel::N,рукав,袖子
394,Hose::N,брюки,裤子
395,Gürtel::N,пояс,腰带
396,Mütze::N,шапка,帽子
397,Schuh::N,ботинок,鞋
398,Stiefel::N,чобіт,靴子
399,Ring::N,кільце,戒指
400,Band::N,стрічка,带子
401,Kamm::N,гребінець,梳子
402,Spiegel::N,дзеркало,镜子
403,Riemen::N,ремінь,皮带
404,Schnur::N,вірьовка,绳子
405,Leine::N,шворка,皮带
406,Decke::N,ковдра,被子
407,Kissen::N,подушка,软垫
408,Tuch::N,хустка,巾
409,Handtuch::N,рушник,手巾
410,Kraft::N,сила,力
411,Stärke::N,сила,力量
412,Gesundheit::N,здоров’я,健康
413,Krankheit::N,хвороба,病
414,Schmerz::N,біль,痛
415,Wunde::N,рана,伤口
416,Fieber::N,гарячка,发烧
417,Arznei::N,ліки,药
418,Brücke::N,міст,桥
419,Brunnen::N,колодязь,井
420,Weide::N,пасовище,牧场
421,Pfad::N,стежка,小路
422,Weg::N,шлях,路
423,Weg::N,дорога,路
424,Straße::N,вулиця,街
425,Dorf::N,село,村庄
426,Stadt::N,місто,城市
427,Brief::N,лист,信
428,Buch::N,книга,书
429,Buch::N,книжка,书
430,Buchstabe::N,буква,字母
431,Buchstabe::N,літера,字母
432,Zeitung::N,газета,报纸
433,Leben::N,життя,生命
434,Tod::N,смерть,死亡
435,Grab::N,могила,坟墓
436,Kirche::N,церква,教堂
437,Sünde::N,гріх,罪
438,Gott::N,бог,上帝
439,Arbeiter::N,робітник,工人
440,Chef::N,хазяїн,上司
441,Meister::N,умілець,师傅
442,Arzt::N,лікар,医生
443,Lehrer::N,вчитель,教师
444,Geld::N,гроші,钱
445,Geschäft::N,заняття,交易
446,Laden::N,магазин,商店
447,Laden::N,крамниця,商店
448,Preis::N,ціна,价格
449,Ware::N,товар,商品
450,Nutzen::N,вигода,好处
451,Nutzen::N,користь,好处
452,Reichtum::N,багатство,财富
453,Welt::N,світ,世界
454,Land::N,країна,国家
455,Staat::N,держава,国家
456,König::N,король,国王
457,Macht::N,влада,权力
458,Grenze::N,кордон,边界
459,Krieg::N,війна,战争
460,Feind::N,ворог,敌人
461,Gewalt::N,насильство,暴力
462,Kampf::N,бій,战斗
463,Kampf::N,боротьба,战斗
464,Bogen[Waffe]::N,лук,弓
465,Pfeil::N,стріла,箭
466,Gewehr::N,рушниця,枪
467,Gewehr::N,гвинтівка,枪
468,Fehler::N,помилка,错误
469,Lüge::N,брехня,谎话
470,Schaden::N,шкода,损失
471,Schaden::N,збиток,损失
472,Unglück::N,нещастя,不幸
473,Schuld::N,провина,过错
474,Alter::N,вік,年龄
475,Alter::N,літа,年龄
476,Schluss::N,кінець,结束
477,Zeit::N,час,时间
478,Tag::N,день,天
479,Morgen::N,ранок,早晨
480,Mittag::N,південь,中午
481,Abend::N,вечір,晚上
482,Nacht::N,ніч,夜
483,Woche::N,тиждень,星期
484,Monat::N,місяць,月
485,Jahr::N,рік,年
486,Frühling::N,весна,春天
487,Sommer::N,літо,夏天
488,Herbst::N,осінь,秋天
489,Winter::N,зима,冬天
490,Januar::N,січень,一月
491,Februar::N,лютий,二月
492,März::N,березень,三月
493,April::N,квітень,四月
494,Mai::N,травень,五月
495,Juni::N,червень,六月
496,Juli::N,липень,七月
497,August::N,серпень,八月
498,September::N,вересень,九月
499,Oktober::N,жовтень,十月
500,November::N,листопад,十一月
501,Dezember::N,грудень,十二月
502,Montag::N,понеділок,星期一
503,Dienstag::N,вівторок,星期二
504,Mittwoch::N,середа,星期三
505,Donnerstag::N,четвер,星期四
506,Freitag::N,п’ятниця,星期五
507,Samstag::N,субота,星期六
508,Sonntag::N,неділя,星期日
509,groß::A,великий,大
510,klein::A,малий,小
511,klein::A,маленький,小
512,lang::A,довгий,长
513,kurz::A,короткий,短
514,breit::A,широкий,宽
515,schmal::A,вузький,细长的
516,dicht::A,густий,密
517,dick[Gegenstand]::A,товстий,厚
518,dünn::A,тонкий,薄
519,fein::A,дрібний,细小
520,fest::A,міцний,固体
521,flach::A,плоский,平坦
522,glatt::A,рівний,光滑
523,glatt::A,гладенький,光滑
524,hart::A,твердий,硬
525,weich::A,м’який,软
526,rund::A,круглий,圆
527,spitz::A,гострокінцевий,尖
528,scharf::A,гострий,锋利
529,stumpf::A,тупий,钝
530,schwer::A,важкий,重
531,schön::A,вродливий,美丽
532,heiß::A,жаркий,烫
533,heiß::A,гарячий,烫
534,warm::A,теплий,暖和
535,kalt::A,холодний,冷
536,kühl::A,прохолодний,凉
537,frisch::A,свіжий,新鲜
538,feucht::A,вогкий,潮湿
539,nass::A,мокрий,湿
540,trocken::A,сухий,干
541,voll::A,повний,满
542,leer::A,пустий,空
